DATE,USALORSGPNOSTSAM
1984-06-01,100.942234339314
1984-07-01,100.972615215161
1984-08-01,100.968340920864
1984-09-01,100.940259202854
1984-10-01,100.899441876507
1984-11-01,100.855464105228
1984-12-01,100.815494687335
1985-01-01,100.783518041315
1985-02-01,100.762367299923
1985-03-01,100.755078092017
1985-04-01,100.765374532359
1985-05-01,100.795452212915
1985-06-01,100.842434950652
1985-07-01,100.893342079316
1985-08-01,100.932266950741
1985-09-01,100.947179224548
1985-10-01,100.937494621373
1985-11-01,100.907554958653
1985-12-01,100.861865087506
1986-01-01,100.801809358761
1986-02-01,100.727573511795
1986-03-01,100.641106369905
1986-04-01,100.550101934708
1986-05-01,100.463111965705
1986-06-01,100.385098676727
1986-07-01,100.312815644476
1986-08-01,100.240065129473
1986-09-01,100.162561583179
1986-10-01,100.082855263791
1986-11-01,100.007227348412
1986-12-01,99.9428617204159
1987-01-01,99.8948492312716
1987-02-01,99.8667541427423
1987-03-01,99.8600963242763
1987-04-01,99.8724945336753
1987-05-01,99.9013237279179
1987-06-01,99.9460639426004
1987-07-01,100.009543919353
1987-08-01,100.094051457016
1987-09-01,100.196182660395
1987-10-01,100.300244107858
1987-11-01,100.388001514701
1987-12-01,100.448355880916
1988-01-01,100.488236959305
1988-02-01,100.521422841792
1988-03-01,100.558939915305
1988-04-01,100.600099355649
1988-05-01,100.639814303051
1988-06-01,100.675749556986
1988-07-01,100.71567501235
1988-08-01,100.770561423088
1988-09-01,100.847557290221
1988-10-01,100.942042739235
1988-11-01,101.043691194576
1988-12-01,101.141387156377
1989-01-01,101.227764959073
1989-02-01,101.297986874414
1989-03-01,101.34947333696
1989-04-01,101.3829322981
1989-05-01,101.399828681812
1989-06-01,101.401305647287
1989-07-01,101.388457165509
1989-08-01,101.363522875613
1989-09-01,101.332264735208
1989-10-01,101.307356168127
1989-11-01,101.301206697449
1989-12-01,101.318530116159
1990-01-01,101.347724310066
1990-02-01,101.369278332189
1990-03-01,101.363418365951
1990-04-01,101.318410875686
1990-05-01,101.226001968076
1990-06-01,101.079776084392
1990-07-01,100.877009791663
1990-08-01,100.61834200343
1990-09-01,100.31155338104
1990-10-01,99.9793133095616
1990-11-01,99.650303046072
1990-12-01,99.3524444014666
1991-01-01,99.1061965169314
1991-02-01,98.9249800221174
1991-03-01,98.811943439096
1991-04-01,98.7520443613855
1991-05-01,98.7243138509499
1991-06-01,98.7101330446172
1991-07-01,98.6991375131452
1991-08-01,98.6886928687735
1991-09-01,98.6830751945597
1991-10-01,98.6925261935433
1991-11-01,98.728770038417
1991-12-01,98.7993611251981
1992-01-01,98.8999760110873
1992-02-01,99.0211805897095
1992-03-01,99.1528503791174
1992-04-01,99.2869450873036
1992-05-01,99.4173628314894
1992-06-01,99.5394363117884
1992-07-01,99.6495000004432
1992-08-01,99.7431397737837
1992-09-01,99.8141085165865
1992-10-01,99.8542317718158
